2025-10-28 12:36:45,093 - __main__ - INFO - IPTV直播源整理工具 开始运行
2025-10-28 12:36:45,141 - __main__ - INFO - 开始获取直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 开始解析直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 解析TXT格式数据...
2025-10-28 12:36:46,417 - __main__ - INFO - 解析完成: 59个频道
2025-10-28 12:36:46,418 - __main__ - INFO - 开始频道测速处理...
2025-10-28 12:36:46,418 - __main__ - INFO - 开始测速 59 个频道...
2025-10-28 12:46:24,418 - __main__ - WARNING - 测速失败: http://live.nctv.top/huya.php?id=11602077, 错误: Command '['ffmpeg', '-i', 'http://live.nctv.top/huya.php?id=11602077', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:37,204 - __main__ - WARNING - 测速失败: http://112.123.206.32:808/hls/1/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://112.123.206.32:808/hls/1/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:37,246 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/13/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/13/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:46:37,265 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/12/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/12/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:38,366 - __main__ - WARNING - 测速失败: http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8, 错误: Command '['ffmpeg', '-i', 'http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:46:38,865 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/12/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/12/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:41,901 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=201, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=201', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:41,901 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=488, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=488', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:41,901 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=484, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=484', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:41,902 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=489, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=489', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:41,903 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=488, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=488', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:42,351 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=488, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=488', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:42,402 - __main__ - WARNING - 测速失败: http://180.136.233.111:10099/udp/239.81.0.102:4056, 错误: Command '['ffmpeg', '-i', 'http://180.136.233.111:10099/udp/239.81.0.102:4056', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:52,566 - __main__ - WARNING - 测速失败: http://112.123.206.32:808/hls/2/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://112.123.206.32:808/hls/2/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:52,602 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/13/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/13/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:46:52,616 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/14/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/14/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:46:52,692 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/13/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/13/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
